stock_code,ymd,"100.0 * (t1.close1 - t1.open1) / t1.open1"
600008,20130305,5.59006
600010,20110329,3.50404
600018,20130906,9.68343
600018,20141119,1.02564
600026,20141218,8.78613
600029,20141202,8.98876
600030,20141208,10.05611
600030,20141218,-1.82493
600039,20120806,9.54198
600048,20150106,-2.47863
600051,20110401,-4.12876
600053,20130523,4.77387
600055,20140923,-1.58974
600061,20141209,-7.30961
600064,20101109,-3.49515
600069,20140827,3.03030
600070,20120426,-10.06711
600071,20140625,7.78947
600071,20140731,0.17964
600072,20130807,7.82689
600075,20100525,0.07605
600077,20120723,-6.84932
600080,20140226,6.62598
600081,20100903,-2.65655
600082,20130902,-9.82987
600096,20141223,-5.30547
600105,20130821,1.24031
600111,20130712,-1.76070
600113,20120502,0.00000
600113,20130125,-5.54593
600115,20141202,7.09091
600117,20140829,-1.83486
600117,20140912,4.09836
600119,20140812,7.97761
600119,20140821,1.38504
600127,20100325,-3.64583
600129,20100906,-4.00000
600130,20140212,8.15939
600132,20100416,-4.08163
600133,20100726,3.93375
600139,20110105,2.42305
600146,20120207,-2.65560
600148,20101108,-1.43198
600152,20140820,-3.95939
600155,20140321,2.00000
600157,20120910,0.00000
600157,20140814,-4.08922
600167,20110523,13.49645
600168,20100329,-3.21142
600170,20120508,-1.82482
600176,20141212,-3.48322
600179,20120830,10.00000
600179,20121010,8.27680
600185,20131009,-0.24096
600200,20110315,4.65950
600203,20100319,0.00000
600203,20131230,7.33496
600209,20120731,7.26698
600209,20120806,4.75610
600211,20101130,-3.31834
600217,20121226,-0.39474
600221,20141202,6.33333
600225,20131122,-2.51108
600225,20140213,-5.17007
600228,20131227,7.72496
600228,20140109,1.52616
600229,20120810,-2.25225
600230,20121015,1.61022
600233,20110324,0.00000
600234,20140512,3.72727
600239,20140806,-1.83486
600246,20120228,-2.46914
600259,20101014,7.16387
600259,20110217,1.74617
600259,20130708,-1.74054
600272,20120807,-4.37457
600277,20130305,-2.03874
600281,20101130,-2.17742
600291,20130205,2.05993
600303,20140716,-10.28037
600311,20101102,-5.91684
600316,20141209,-10.84195
600317,20141211,1.04348
600322,20140326,-4.81013
600325,20141125,-1.92630
600326,20100205,-5.70292
600327,20130916,10.26119
600330,20101122,2.22363
600330,20131205,-4.55466
600340,20140325,-0.07052
600343,20101019,0.84615
600345,20130402,5.31792
600348,20101012,7.52517
600348,20120111,1.24364
600355,20130301,2.71186
600359,20131011,2.82021
600361,20141020,-5.66572
600362,20101012,8.09889
600367,20100903,-2.73556
600367,20100914,-1.59468
600368,20141105,-4.12698
600376,20150106,-3.22581
600379,20100319,0.30266
600389,20120719,2.19033
600389,20121211,-1.34707
600391,20141209,-8.12227
600392,20130708,4.49504
600392,20130725,3.44828
600396,20140411,-3.57815
600399,20130116,5.76923
600399,20140715,-8.02512
600405,20140228,4.76788
600408,20110407,-1.51707
600408,20140807,-3.04878
600415,20141201,-7.76965
600418,20140715,-2.96000
600419,20130502,-2.18089
600432,20140512,6.90691
600435,20120913,10.22222
600435,20140730,-1.69265
600446,20130703,7.36152
600460,20130521,2.51046
600466,20110420,6.32000
600476,20140616,-1.35135
600476,20140825,-0.55193
600480,20140321,2.65283
600483,20100224,-3.47305
600493,20110816,-4.26309
600495,20120910,1.80807
600503,20130321,0.33278
600506,20140617,2.68336
600510,20121212,-1.86514
600510,20140703,-3.75204
600513,20100824,3.69231
600520,20141209,-6.15385
600531,20140729,7.38095
600536,20130730,-1.75631
600536,20130826,2.82564
600537,20130108,-2.78351
600539,20110216,-0.07962
600545,20100205,1.09428
600545,20100525,-1.72786
600549,20120809,1.11828
600550,20140219,-2.88462
600552,20100120,1.14007
600552,20100129,0.90791
600555,20110318,-1.83333
600567,20121228,7.06714
600575,20101025,-1.87793
600599,20140904,5.39604
600613,20120621,4.67153
600613,20120627,10.02882
600618,20110419,9.89505
600618,20110523,-7.03250
600620,20130327,-0.16611
600630,20120723,-3.99334
600630,20130828,5.27046
600633,20130702,3.08748
600636,20101130,-4.03522
600639,20130926,-10.10041
600652,20120111,3.01724
600657,20141202,12.34120
600661,20140127,-1.73160
600663,20130828,9.46416
600679,20120723,-1.59091
600680,20140304,8.22657
600683,20110303,1.61491
600684,20121031,7.49280
600684,20121227,2.91096
600692,20100205,-6.72000
600695,20110527,-6.86785
600699,20140211,0.37313
600703,20100325,2.46508
600704,20130927,-2.06746
600714,20110512,10.03003
600714,20111026,0.37234
600721,20120111,-0.83333
600735,20110223,2.30769
600748,20130905,1.67064
600751,20140213,-5.93472
600756,20140530,11.88235
600758,20110525,4.80976
600759,20100205,-9.13706
600760,20140916,4.04475
600767,20140718,18.33333
600768,20110418,9.56848
600773,20100323,0.00000
600775,20130426,-1.16279
600776,20110107,1.44928
600784,20100906,-6.91318
600787,20130531,-1.80180
600789,20140805,-1.73913
600791,20140327,2.91971
600794,20130116,-1.34639
600795,20141223,-0.66372
600797,20140110,-3.00501
600800,20121010,8.37209
600800,20121226,-0.72464
600803,20130108,8.19672
600807,20110805,-2.23953
600808,20141223,-5.30120
600810,20130604,-3.31890
600818,20120723,-5.37543
600821,20100209,-1.81818
600830,20120427,0.00000
600833,20120807,-1.13636
600844,20120110,3.62205
600850,20140916,-0.97143
600855,20131119,-3.55966
600855,20141217,3.00100
600868,20121025,3.50877
600870,20140417,-6.10973
600873,20110211,0.25890
600880,20130909,-1.79426
600882,20130107,0.48154
600888,20100107,1.79299
600890,20130530,0.98253
600896,20141105,-4.71204
600961,20101115,-2.31527
600980,20100901,2.81385
600980,20100906,-4.04303
600980,20140409,2.02703
600988,20140820,5.93570
600990,20130125,-9.97625
600999,20130130,0.88925
600999,20141125,1.34310
600999,20141208,12.39216
601000,20140417,-9.40032
601000,20141203,0.11455
601002,20110128,-0.58824
601002,20110209,3.10187
601002,20120426,-4.58472
601038,20120813,-9.96205
601038,20121211,-1.03950
601099,20141208,11.87801
601106,20141010,-2.97483
601111,20141202,5.33333
601118,20140912,-1.09756
601158,20141212,-2.74725
601216,20130708,-1.46843
601231,20140106,-1.89922
601258,20120215,9.47109
601299,20150119,1.55738
601336,20141128,-1.43529
601377,20141111,3.49398
601377,20141208,12.05821
601518,20100325,10.48387
601519,20130704,9.38272
601579,20140905,4.40341
601588,20130130,2.01149
601688,20141203,-0.38873
601766,20150119,2.72805
601788,20141128,2.30608
601800,20141212,4.48980
601898,20141223,-5.39419
601901,20141208,12.15827
601991,20141223,-5.88235
601996,20121121,-3.86643
601996,20121211,-2.40964
603002,20130122,-0.80367
603005,20140218,-0.51977
603100,20141114,-10.04543
603166,20141215,-8.42912
603167,20121227,-2.46253
603169,20150108,6.99531
603399,20120911,-1.13043
603609,20140821,7.33333
900917,20110107,-1.99336
900938,20130712,-1.67224
900957,20120807,1.29199
300002,20130410,-1.78571
300008,20100413,-3.78934
300008,20140218,-1.16618
300012,20140130,-4.63000
300013,20130510,9.07840
300014,20100525,8.99772
300014,20130703,4.58069
300028,20130925,-5.67595
300030,20140319,-1.58840
300033,20130711,0.70361
300033,20141112,1.81347
300033,20141128,9.61028
300034,20140210,1.78571
300051,20111108,-0.89686
300051,20130620,-4.91184
300052,20130617,-3.53496
300052,20130826,2.81445
300055,20120509,-4.90291
300056,20131016,4.04884
300062,20140226,-1.51515
300063,20120828,-1.76817
300063,20130815,-4.27350
300067,20130813,10.35714
300069,20140219,0.72131
300081,20111229,-4.03587
300081,20120112,-1.52542
300085,20141119,2.04837
300085,20150108,7.92793
300096,20150121,2.39163
300097,20140123,7.49516
300104,20130510,-0.47619
300109,20100906,-11.16364
300109,20110823,4.91273
300112,20131226,6.75497
300112,20131231,1.70683
300113,20131202,-4.29719
300114,20140905,2.25819
300120,20101118,-1.09060
300127,20101026,-2.10526
300127,20121220,3.23887
300137,20130116,-5.25031
300140,20110927,1.61209
300150,20130821,-0.63636
300154,20130724,1.53430
300155,20130725,-4.57711
300161,20140916,-1.15854
300162,20111102,11.38554
300162,20141204,1.42570
300163,20131113,2.39180
300167,20111101,2.04461
300172,20130724,6.84932
300185,20131204,9.34959
300191,20131009,7.94393
300191,20131121,5.61580
300191,20131216,-12.05597
300191,20140605,7.49441
300200,20131016,7.41573
300200,20131106,-3.71901
300201,20131231,-5.77250
300209,20140106,-5.26984
300220,20130527,5.93301
300223,20130603,-4.29025
300223,20131216,-1.05909
300226,20130814,7.62631
300226,20130918,-0.36320
300226,20140128,-6.16225
300226,20140224,-1.97745
300227,20130522,5.24815
300231,20130522,-1.81311
300236,20131202,-1.01775
300237,20140516,-4.66120
300238,20110802,2.05748
300239,20110826,0.48232
300239,20120315,1.83908
300239,20120514,-9.54892
300244,20150113,-4.81481
300245,20140212,-4.28705
300246,20110803,-1.49961
300247,20130923,6.54545
300247,20140103,-2.01550
300250,20120316,-2.70133
300250,20130724,8.76513
300250,20150128,-3.33333
300251,20131008,-4.34515
300264,20120223,-1.54278
300264,20140521,-0.98901
300266,20140317,-1.89891
300269,20111104,-2.34234
300269,20131224,1.94682
300277,20130805,-1.19595
300280,20130205,-4.46058
300280,20140123,15.22199
300286,20140307,-0.54348
300292,20150126,-1.45220
300293,20120810,4.81366
300295,20130716,3.44384
300297,20140304,-0.23518
300301,20121228,2.12014
300303,20130520,-1.92539
300304,20131115,1.39050
300315,20130603,-4.55342
300319,20120628,-5.83554
300319,20131202,0.00000
300321,20131127,7.90416
300322,20131129,3.18610
300324,20140604,4.25339
300325,20130115,3.01811
300325,20131018,-7.69231
300329,20140630,0.17065
300330,20130924,2.07055
300331,20120703,7.61329
300331,20120830,-2.07451
300338,20131113,4.70693
300338,20131118,2.47525
300338,20131227,0.38052
300342,20131127,0.81809
300343,20121231,4.26573
300344,20130109,-2.89855
300348,20141201,10.51374
300350,20120823,2.23741
300356,20140826,0.28807
300357,20140911,-1.27306
300359,20140825,1.94122
300372,20140304,-6.98890
300375,20140304,-3.84838
300378,20141124,-0.49751
300378,20150128,2.00000
300379,20140522,-3.60931
300380,20140630,3.52842
300382,20140211,3.57143
300385,20140710,14.60112
300398,20141112,2.73873
300400,20141104,-4.58974
300410,20150119,2.09091
300412,20150119,1.17268
000010,20131023,-9.10931
000014,20130122,-0.30181
000022,20110218,-2.21843
000022,20130911,-6.55849
000037,20141219,8.33333
000037,20150109,-5.07328
000043,20120130,1.11421
000043,20120313,7.61589
000049,20100421,0.65306
000049,20100517,-2.84790
000050,20140730,-0.85418
000060,20141205,-3.59922
000065,20141106,-0.95455
000096,20131107,3.95738
000099,20100713,1.40056
000156,20130107,7.77114
000158,20141201,-2.01932
000410,20141127,6.80729
000416,20140130,-1.96802
000498,20150129,-1.58730
000505,20140523,1.13636
000506,20130711,3.06513
000509,20140627,11.68317
000511,20140619,-5.30086
000514,20131125,8.83621
000518,20100913,-1.99468
000518,20141017,-4.54545
000519,20120221,0.08097
000523,20100205,-1.64234
000523,20120216,-1.48810
000543,20120615,0.60698
000547,20100413,-2.99145
000551,20100412,5.57244
000551,20121211,-1.02941
000551,20130116,-3.84139
000554,20140228,7.63636
000559,20140212,0.59347
000561,20140925,3.07018
000562,20141204,7.66373
000585,20140729,11.48649
000585,20140818,12.81407
000594,20120601,-0.66890
000595,20110211,7.96875
000617,20140801,-4.75248
000626,20110331,-4.30528
000632,20100204,2.96610
000637,20130205,2.17865
000663,20120525,7.71084
000663,20130909,9.97067
000669,20100928,0.65890
000680,20120911,-3.21970
000681,20131009,0.87992
000681,20140228,2.24386
000682,20141009,-2.22635
000691,20120628,-4.00668
000692,20140828,-8.75486
000697,20121221,-4.02047
000708,20140911,-5.96745
000709,20110413,-1.21212
000712,20141125,-0.37453
000723,20130425,-4.84740
000728,20141208,11.18705
000735,20120720,-6.86106
000736,20120427,-6.64683
000750,20141201,-0.40956
000750,20141208,10.49724
000751,20100820,1.66482
000752,20110401,-3.56243
000760,20120216,1.07335
000768,20141210,7.63187
000776,20141208,12.24058
000783,20141208,10.95588
000783,20141218,-2.85554
000806,20100817,-0.98361
000811,20140218,-0.12755
000825,20141016,-4.29864
000825,20141212,-6.10820
000831,20130708,1.94229
000838,20110927,-6.10749
000852,20140923,3.76940
000885,20110216,6.22271
000886,20100205,-10.10929
000886,20100623,-4.46686
000897,20120419,1.82927
000897,20140213,-3.45423
000901,20141209,-10.19403
000902,20131213,-1.22378
000906,20140311,-7.76256
000909,20130807,3.56201
000918,20141014,0.87336
000927,20100514,1.19840
000931,20141205,-0.39880
000936,20101013,1.44578
000938,20130815,-2.14712
000950,20100804,1.97802
000958,20140813,-1.05820
000959,20100824,9.23788
000961,20140124,10.01431
000966,20131017,-3.14050
000972,20141113,2.38095
000977,20130821,-3.21817
000979,20140821,-3.37079
001696,20100113,-3.15969
200581,20101011,6.12648
200625,20130130,-2.68199
002006,20110223,1.77419
002012,20120521,-8.94819
002013,20141209,-11.79487
002017,20101109,-0.77691
002018,20100730,1.12782
002024,20130925,-2.48640
002027,20140121,8.57143
002030,20130109,-6.77467
002035,20140306,1.37868
002048,20140127,-1.37994
002056,20100831,1.49701
002057,20101026,10.06585
002057,20101102,-7.47487
002057,20140813,-0.08000
002062,20120911,1.79949
002062,20141222,-9.38897
002066,20140722,1.20240
002067,20140630,-1.52174
002070,20120806,7.03593
002078,20140828,-6.74419
002081,20101124,2.70864
002084,20121022,10.33835
002085,20100906,-9.57614
002091,20130507,3.17267
002094,20120316,-3.00946
002095,20130716,-1.05747
002095,20130719,6.01852
002107,20141010,-2.31745
002107,20150116,1.59433
